Name,District,Type,Description
SPRINGTOWN ISD,184902,D,OTHER CENTRAL CITY SUBURBAN
SPUR ISD,063903,H,RURAL
SPURGER ISD,229905,H,RURAL
ST ANTHONY SCHOOL,057836,I,CHARTER SCHOOL DISTRICTS
ST MARY'S ACADEMY CHARTER SCHOOL,013801,I,CHARTER SCHOOL DISTRICTS
STAFFORD MSD,079910,B,MAJOR SUBURBAN
STAMFORD ISD,127906,H,RURAL
STANTON ISD,156902,D,OTHER CENTRAL CITY SUBURBAN
STEP CHARTER SCHOOL,101859,I,CHARTER SCHOOL DISTRICTS
STEPHEN F AUSTIN STATE UNIVERSITY,174801,I,CHARTER SCHOOL DISTRICTS
STEPHENVILLE ISD,072903,E,INDEPENDENT TOWN
STERLING CITY ISD,216901,F,NON-METROPOLITAN FAST GROWING
STOCKDALE ISD,247906,H,RURAL
STRATFORD ISD,211902,H,RURAL
STRAWN ISD,182905,H,RURAL
SUDAN ISD,140908,H,RURAL
SULPHUR BLUFF ISD,112910,H,RURAL
SULPHUR SPRINGS ISD,112901,E,INDEPENDENT TOWN
SUNDOWN ISD,110907,H,RURAL
SUNNYVALE ISD,057919,F,NON-METROPOLITAN FAST GROWING
SUNRAY ISD,171902,H,RURAL
SWEENY ISD,020906,D,OTHER CENTRAL CITY SUBURBAN
SWEET HOME ISD,143905,H,RURAL
SWEETWATER ISD,177902,G,NON-METROPOLITAN STABLE
TAFT ISD,205907,D,OTHER CENTRAL CITY SUBURBAN
TAHOKA ISD,153904,H,RURAL
TARKINGTON ISD,146907,G,NON-METROPOLITAN STABLE
TATUM ISD,201910,D,OTHER CENTRAL CITY SUBURBAN
TAYLOR ISD,246911,D,OTHER CENTRAL CITY SUBURBAN
TEAGUE ISD,081904,G,NON-METROPOLITAN STABLE
TEKOA ACADEMY OF ACCELERATED STUDI,123803,I,CHARTER SCHOOL DISTRICTS
TEMPLE ISD,014909,D,OTHER CENTRAL CITY SUBURBAN
TENAHA ISD,210904,F,NON-METROPOLITAN FAST GROWING
TERLINGUA CSD,022004,H,RURAL
TERRELL COUNTY ISD,222901,H,RURAL
TERRELL ISD,129906,C,OTHER CENTRAL CITY
TEXANS CAN ACADEMIES,057804,I,CHARTER SCHOOL DISTRICTS
TEXARKANA ISD,019907,E,INDEPENDENT TOWN
TEXAS CITY ISD,084906,D,OTHER CENTRAL CITY SUBURBAN
TEXAS COLLEGE PREPARATORY ACADEMIE,221801,I,CHARTER SCHOOL DISTRICTS
TEXAS EDUCATION CENTERS,061802,I,CHARTER SCHOOL DISTRICTS
TEXAS EMPOWERMENT ACADEMY,227805,I,CHARTER SCHOOL DISTRICTS
TEXAS LEADERSHIP,226801,I,CHARTER SCHOOL DISTRICTS
TEXAS PREPARATORY SCHOOL,105802,I,CHARTER SCHOOL DISTRICTS
