County,District,Name,Code,Institution,Students
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,Other Pub/Ind 4-yr Institution (14) ,23
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,Other Pub/Ind 2-yr Institution (7) ,8
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,Not trackable ,2
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,Not found ,78
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,Total high school graduates ,149
,,,,,
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,BLINN COLLEGE (003549) ,27
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,AUSTIN COMMUNITY COLLEGE (012015) ,19
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,TEXAS A&M UNIVERSITY (003632) ,12
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,TEXAS STATE UNIVERSITY (003615) ,11
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,TARLETON STATE UNIVERSITY (003631) ,6
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,TEXAS A&M UNIV-CORPUS CHRISTI (011161) ,6
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,U. OF TEXAS AT AUSTIN (003658) ,6
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,HUSTON-TILLOTSON UNIVERSITY (003577) ,5
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,Other Pub/Ind 4-yr Institution (15) ,18
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,Other Pub/Ind 2-yr Institution (7) ,7
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,Not trackable ,11
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,Not found ,118
BASTROP ,BASTROP ISD ,BASTROP H S ,011901001,Total high school graduates ,246
,,,,,
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,AUSTIN COMMUNITY COLLEGE (012015) ,29
