YEAR,CAMPUS ID,HIGH SCHOOL STUDENTS,NOT FOUND,NOT TRACKABLE
2015,,0,0,0
2015,61905001.0,136,60,1
2015,,0,0,0
2015,61912001.0,281,110,9
2015,,0,0,0
2015,61902010.0,839,358,27
2015,,0,0,0
2015,61902008.0,725,240,45
2015,,0,0,0
2015,61902005.0,161,110,25
2015,,0,0,0
2015,61902001.0,895,419,106
2015,,0,0,0
2015,61902002.0,734,304,18
2015,,0,0,0
2015,61902004.0,423,192,14
2015,,0,0,0
2015,61914001.0,326,152,30
2015,,0,0,0
2015,61911007.0,539,257,14
2015,,0,0,0
2015,61911001.0,589,293,16
2015,,0,0,0
2015,61903001.0,113,48,8
2015,,0,0,0
2015,61906001.0,89,51,1
2015,,0,0,0
2015,61908001.0,189,111,7
2015,,0,0,0
2015,64903001.0,144,62,0
2015,,0,0,0
2015,65901001.0,29,16,0
2015,,0,0,0
2015,66903002.0,45,23,0
2015,,0,0,0
2015,66902001.0,85,44,0
2015,,0,0,0
2015,67902001.0,54,17,0
2015,,0,0,0
2015,67903001.0,63,17,1
2015,,0,0,0
2015,67907001.0,28,12,0
2015,,0,0,0
2015,68901011.0,62,26,4
2015,,0,0,0
2015,68901002.0,685,331,26
2015,,0,0,0
2015,68901003.0,666,346,20
2015,,0,0,0
2015,71906001.0,49,29,2
2015,,0,0,0
2015,71907001.0,370,179,22
2015,,0,0,0
2015,71907003.0,51,21,3
2015,,0,0,0
2015,71901001.0,153,67,7
2015,,0,0,0
2015,71901004.0,356,149,24
2015,,0,0,0
2015,71901002.0,189,85,17
2015,,0,0,0
2015,71804001.0,86,64,1
2015,,0,0,0
2015,71804002.0,89,69,4
2015,,0,0,0
2015,71902001.0,404,222,7
2015,,0,0,0
2015,71902002.0,295,144,21
2015,,0,0,0
2015,71902003.0,205,88,18
2015,,0,0,0
2015,71902004.0,303,125,7
2015,,0,0,0
2015,71902012.0,413,214,14
2015,,0,0,0
2015,71902020.0,88,67,6
2015,,0,0,0
2015,71902005.0,590,211,15
2015,,0,0,0
2015,71902006.0,278,100,8
2015,,0,0,0
2015,71902010.0,621,228,18
2015,,0,0,0
2015,71902008.0,310,182,22
2015,,0,0,0
2015,71902009.0,215,105,20
2015,,0,0,0
2015,71902011.0,114,19,0
2015,,0,0,0
2015,71902015.0,84,25,0
2015,,0,0,0
2015,71903001.0,161,83,4
2015,,0,0,0
2015,71806001.0,53,12,1
2015,,0,0,0
2015,71803002.0,39,31,2
2015,,0,0,0
2015,71803001.0,34,27,0
2015,,0,0,0
2015,71904001.0,210,95,12
2015,,0,0,0
2015,71909004.0,464,140,10
2015,,0,0,0
2015,71909008.0,418,169,18
2015,,0,0,0
2015,71909005.0,829,356,27
2015,,0,0,0
2015,71909007.0,127,22,1
2015,,0,0,0
2015,71909002.0,574,216,7
2015,,0,0,0
2015,71909001.0,576,266,33
2015,,0,0,0
2015,71908001.0,86,53,4
2015,,0,0,0
2015,71905001.0,484,177,12
2015,,0,0,0
2015,71905008.0,378,127,15
2015,,0,0,0
2015,71905002.0,516,172,5
2015,,0,0,0
2015,71905007.0,400,150,7
2015,,0,0,0
2015,71905003.0,259,116,5
2015,,0,0,0
2015,71905033.0,138,106,5
2015,,0,0,0
2015,71905005.0,288,129,9
2015,,0,0,0
2015,71905010.0,87,74,1
2015,,0,0,0
2015,71905017.0,99,19,2
2015,,0,0,0
2015,71905004.0,309,141,7
2015,,0,0,0
2015,70903002.0,375,187,14
2015,,0,0,0
2015,70905002.0,151,78,6
2015,,0,0,0
2015,70907001.0,34,16,0
2015,,0,0,0
2015,70915001.0,65,28,1
2015,,0,0,0
2015,70908001.0,517,194,6
2015,,0,0,0
2015,70910001.0,69,32,2
2015,,0,0,0
2015,70911001.0,384,152,5
2015,,0,0,0
2015,70912004.0,91,27,3
2015,,0,0,0
2015,70912002.0,396,181,9
2015,,0,0,0
2015,70912003.0,58,49,4
2015,,0,0,0
2015,72902001.0,57,21,4
2015,,0,0,0
2015,72802001.0,41,35,1
2015,,0,0,0
2015,72801101.0,62,52,0
2015,,0,0,0
2015,72801113.0,50,35,6
2015,,0,0,0
2015,72801103.0,60,47,2
2015,,0,0,0
2015,72801001.0,26,22,0
2015,,0,0,0
2015,72801129.0,64,47,4
2015,,0,0,0
2015,72801137.0,38,31,0
2015,,0,0,0
2015,72801109.0,48,30,10
2015,,0,0,0
2015,72801141.0,27,18,2
2015,,0,0,0
2015,72801112.0,26,17,1
2015,,0,0,0
2015,72801116.0,50,29,4
2015,,0,0,0
2015,72801136.0,32,28,0
2015,,0,0,0
2015,72801128.0,51,33,3
2015,,0,0,0
2015,72801104.0,42,32,2
2015,,0,0,0
2015,72801115.0,47,35,4
2015,,0,0,0
2015,72801117.0,27,19,1
2015,,0,0,0
2015,72801130.0,46,31,7
2015,,0,0,0
2015,72801121.0,54,33,3
2015,,0,0,0
2015,72903001.0,175,70,6
2015,,0,0,0
2015,73901001.0,27,16,0
2015,,0,0,0
2015,73903001.0,60,32,2
2015,,0,0,0
2015,73905001.0,55,29,1
2015,,0,0,0
2015,74903001.0,112,58,5
2015,,0,0,0
2015,74907001.0,36,17,2
2015,,0,0,0
2015,74909001.0,78,36,2
2015,,0,0,0
2015,74917001.0,27,7,0
2015,,0,0,0
2015,74912001.0,39,15,0
2015,,0,0,0
2015,75901001.0,39,13,2
2015,,0,0,0
2015,75902001.0,133,46,8
2015,,0,0,0
2015,75903001.0,47,19,0
2015,,0,0,0
2015,77901001.0,37,11,1
2015,,0,0,0
2015,77902001.0,34,9,0
2015,,0,0,0
2015,79907004.0,598,159,26
2015,,0,0,0
2015,79907001.0,566,153,25
2015,,0,0,0
2015,79907011.0,473,165,24
2015,,0,0,0
2015,79907008.0,526,219,26
2015,,0,0,0
2015,79907005.0,592,166,27
2015,,0,0,0
2015,79907006.0,482,151,12
2015,,0,0,0
2015,79907016.0,472,161,21
2015,,0,0,0
2015,79907007.0,590,125,18
2015,,0,0,0
2015,79907012.0,273,148,4
2015,,0,0,0
2015,79907013.0,592,148,19
2015,,0,0,0
2015,79907002.0,273,173,15
2015,,0,0,0
2015,79901002.0,372,221,29
2015,,0,0,0
2015,79901003.0,489,189,12
2015,,0,0,0
