YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,SAT PARTICIPATION RATE,SAT MATH,SAT ERW
2015,57804002,Dallas Can Academy Charter-Oak Cli,57804,2.8,364.0,375.0
2015,57804003,Dallas Can Academy At Carrollton-F,57804,1.9,390.0,335.0
2015,57804004,Dallas Can Academy At Pleasant Gro,57804,1.8,358.0,335.0
2015,57804005,Dallas Can Academy - Grant East,57804,2.1,375.0,405.0
2015,57804006,Austin Can Academy,57804,1.8,380.0,343.0
2015,57804009,Houston Can Academy - North,57804,11.7,389.0,383.0
2015,57804010,Houston Can Academy - Hobby,57804,13.2,313.0,346.0
2015,57804011,San Antonio Can Academy,57804,13.0,412.0,393.0
2015,57806101,Advantage Academy,57806,44.7,419.0,399.0
2015,57807001,Life School Oak Cliff,57807,69.2,413.0,403.0
2015,57807101,Life School Red Oak,57807,72.4,455.0,462.0
2015,57808101,Universal Academy,57808,83.3,440.0,437.0
2015,57815001,Faith Family Academy Of Oak Cliff,57815,,405.0,378.0
2015,57817101,Focus Learning Academy,57817,63.4,384.0,390.0
2015,57828001,Winfree Academy Charter School (Ir,57828,7.3,485.0,435.0
2015,57828002,Winfree Academy Charter School (Le,57828,8.3,468.0,535.0
2015,57828003,Winfree Academy Charter School (Ri,57828,2.4,490.0,495.0
2015,57828004,Winfree Academy Charter School - G,57828,6.8,428.0,415.0
2015,57828005,Winfree Academy North Richland Hil,57828,3.2,510.0,440.0
2015,57828006,Winfree Academy Charter School Dal,57828,18.2,385.0,415.0
2015,57829001,A+ Academy,57829,90.6,428.0,383.0
2015,57831002,Gateway Charter Academy - Middle -,57831,75.7,367.0,360.0
2015,57832001,Alpha Charter School,57832,8.0,275.0,300.0
2015,57834001,Evolution Academy Charter School,57834,6.3,510.0,526.0
2015,57834003,Evolution Academy Beaumont,57834,12.9,399.0,396.0
2015,57838006,Uplift Education-Peak Prep H S,57838,100.0,464.0,429.0
2015,57840001,Richland Collegiate H S Of Math Sc,57840,77.6,548.0,519.0
2015,57842001,Uplift Education-Williams Prep H S,57842,100.0,487.0,454.0
2015,57843001,Uplift Education-Hampton Prep H S,57843,39.0,432.0,433.0
2015,57848006,International Leadership Of Texas,57848,,,
2015,57903001,Turner H S,57903,49.6,490.0,460.0
2015,57903002,Smith H S,57903,59.0,515.0,502.0
2015,57903006,Creekview H S,57903,59.1,516.0,491.0
2015,57903007,Ranchview H S,57903,67.2,508.0,477.0
2015,57903010,Early College H S,57903,100.0,461.0,447.0
2015,57904001,Cedar Hill H S,57904,49.2,441.0,431.0
2015,57904003,Cedar Hill Collegiate H S,57904,93.1,526.0,513.0
2015,57905001,Bryan Adams H S,57905,100.0,388.0,361.0
2015,57905002,W H Adamson H S,57905,100.0,399.0,366.0
2015,57905003,A Maceo Smith New Tech H S,57905,100.0,411.0,387.0
2015,57905005,Moises E Molina H S,57905,100.0,402.0,354.0
2015,57905006,Hillcrest H S,57905,95.4,439.0,413.0
2015,57905007,Thomas Jefferson H S,57905,100.0,397.0,341.0
2015,57905008,Justin F Kimball H S,57905,100.0,380.0,358.0
2015,57905009,Lincoln Humanities/Communications,57905,100.0,374.0,331.0
2015,57905012,L G Pinkston H S,57905,100.0,361.0,329.0
2015,57905013,Franklin D Roosevelt H S,57905,100.0,347.0,325.0
2015,57905014,W W Samuell H S,57905,99.7,364.0,328.0
2015,57905015,Seagoville H S,57905,100.0,386.0,355.0
2015,57905016,South Oak Cliff H S,57905,100.0,357.0,326.0
2015,57905017,H Grady Spruce H S,57905,99.6,373.0,331.0
2015,57905018,Sunset H S,57905,100.0,392.0,360.0
2015,57905021,W T White H S,57905,100.0,435.0,405.0
2015,57905022,Woodrow Wilson H S,57905,100.0,459.0,430.0
2015,57905023,David W Carter H S,57905,85.5,375.0,347.0
2015,57905024,North Dallas H S,57905,100.0,382.0,346.0
2015,57905025,Skyline H S,57905,98.3,412.0,385.0
2015,57905026,School Of Science And Engineering,57905,100.0,679.0,596.0
2015,57905028,Emmett J Conrad H S,57905,100.0,369.0,330.0
2015,57905032,James Madison H S,57905,100.0,359.0,336.0
2015,57905033,School Of Business And Management,57905,100.0,492.0,466.0
2015,57905034,Booker T Washington Spva Magnet,57905,100.0,521.0,548.0
2015,57905035,Irma Lerma Rangel Young Women's Le,57905,100.0,553.0,544.0
2015,57905036,School Of Health Professions,57905,100.0,506.0,490.0
2015,57905037,Rosie Sorrells Education And Socia,57905,100.0,505.0,472.0
2015,57905038,Judge Barefoot Sanders Law Magnet,57905,100.0,498.0,475.0
2015,57905039,School For The Talented And Gifted,57905,100.0,680.0,655.0
2015,57905085,Kathlyn Joy Gilliam Collegiate Aca,57905,98.7,445.0,422.0
2015,57905088,Trinidad Garza Early College At Mt,57905,100.0,498.0,456.0
2015,57905090,Dr Wright L Lassiter Jr Early Coll,57905,100.0,502.0,451.0
2015,57905380,Wilmer-Hutchins H S,57905,100.0,365.0,332.0
2015,57905381,Barack Obama Male Leadership Aca A,57905,100.0,579.0,496.0
2015,57905389,John Leslie Patton Jr Academic Cen,57905,100.0,347.0,316.0
2015,57905478,Fairhill Sch,57905,,538.0,482.0
2015,57905481,Lakehill Prep Sch,57905,,557.0,568.0
2015,57905483,Shelton Sch,57905,,487.0,553.0
2015,57906001,Desoto H S,57906,59.4,419.0,403.0
2015,57907001,Duncanville H S,57907,59.9,440.0,437.0
2015,57909002,Garland H S,57909,49.1,535.0,528.0
2015,57909003,S Garland H S,57909,45.1,428.0,425.0
2015,57909004,N Garland H S,57909,50.1,495.0,476.0
2015,57909005,Lakeview Centennial H S,57909,67.2,456.0,454.0
2015,57909006,Memorial Pathway Academy H S,57909,1.8,460.0,450.0
2015,57909008,Naaman Forest H S,57909,51.4,472.0,465.0
2015,57909009,Rowlett H S,57909,55.5,486.0,478.0
2015,57909010,Sachse H S,57909,55.9,492.0,477.0
2015,57910001,Grand Prairie Fine Arts Academy,57910,93.8,443.0,456.0
2015,57910002,Grand Prairie H S,57910,100.0,400.0,372.0
2015,57910003,South Grand Prairie H S,57910,100.0,442.0,410.0
2015,57910009,Crosswinds H S,57910,26.9,351.0,320.0
2015,57910010,John A Dubiski Career H S,57910,100.0,449.0,413.0
2015,57911001,Highland Park H S,57911,62.4,614.0,598.0
2015,57912002,Irving H S,57912,87.6,432.0,402.0
2015,57912003,Macarthur H S,57912,88.8,433.0,406.0
